User Name,Time,Tweet,User Location,Retweeted Count,Favorited Count,Replied
physed1,2019-11-04 20:46:49,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,Maryland,24,0,NaN
Ellie_Grahamm,2019-11-04 20:46:14,"!!!! UNIVERSITY EDUCATION WILL NEVER BE FREE !!!!! ;;whether you vote Tory, labour, Lib Dem or whoever else, we will nev ",NaN,1,0,NaN
mehdishamsali,2019-11-04 20:45:42,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,NaN,5,0,NaN
MervinGallant,2019-11-04 20:45:32,"""Education is the key to reconciliation...if we educate  Indigenous children and non-Indigenous children about each other ","St. Albert, Alberta",42,0,NaN
TeaBoots,2019-11-04 20:45:29,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,United States,24,0,NaN
chrisoldcorn,2019-11-04 20:45:22,#Creation Scientists? | Christopher Oldcorn on #Patreon;;#blog #essay #religion #christianity #church #Genesis  ,NaN,0,0,NaN
uamsnurses,2019-11-04 20:45:22,"UAMS has a unique combination of education, research and clinical expertise that promotes and supports teamwork and  ","Little Rock, Arkansas",0,0,NaN
Camswr_73js,2019-11-04 20:45:15,Please  &gt;&gt; Free Education University - How to graduate DEBT FREE! Get 75% off for a limited time!  Link in Bio ,USA,0,0,NaN
EmThorne6,2019-11-04 20:45:07,"For-profit colleges (Corinthian Colleges, Trump University and more) are often a scam.  ;And Betsy DeVos blames the student vic ",NaN,297,0,NaN
PathwaysCanada,2019-11-04 20:44:32,"In low-income communities, high school dropout rates can reach 50%. So I just donated to Pathways to Education Canada because ",Canada,0,0,NaN
DevonyyyLynnn_,2019-11-04 20:44:21,Students have a 1/4 chance of being sexually assaulted on campus (1/3 at WVU). Faculty and staff can be fired for t  ,sc: dev_dev44,0,0,NaN
modela_jane,2019-11-04 20:44:16,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Lagos, Nigeria",164,0,NaN
TheLamePathan,2019-11-04 20:44:14,A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,Pochinki,116,0,NaN
MaggGran,2019-11-04 20:44:10,"Indigenous UA students said Robbins remarked he didn't want to ""pull an Elizabeth Warren,"" but he took a DNA test that ",  May not be able to FBR,2,0,NaN
DebbieHillC,2019-11-04 20:44:05, IMO it is insular whiteness more than college education. However college can expose you to other races/cult  ,"Texas, USA",0,0,1191426035012833280
Iam_bayyah,2019-11-04 20:44:05,1. Brilliant International School Malumfashi.;2. Government Unity Secondary School Malumfashi. ;3. Isah Kaita Colle  ,katsina,0,0,NaN
angelcurses,2019-11-04 20:44:04,Tbh I have immense respect for older taking university courses. Like yes pls normalize the idea that education is n  ,Germany,0,1,NaN
Sundncefn,2019-11-04 20:44:02,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,United States,25,0,NaN
abdo_massa,2019-11-04 20:43:37,The top 10 countries for future skills education;;1. Finland;2. Switzerland;3. New Zealand;4. Sweden;5. Canada ,Khorffakan - UAE,293,0,NaN
SaidanShah19,2019-11-04 20:43:35,"Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","Karachi, Pakistan",48,0,NaN
trusokoff,2019-11-04 20:43:20,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,USA,25,0,NaN
SWDEConference,2019-11-04 20:43:19, THANK YOU to Indiana University School of Social Work for becoming our Social Work Distance Education Conference  ,"San Antonio, TX",0,0,NaN
Clarinda_Calma,2019-11-04 20:42:48,University World News about #IDUB Excellence Initiative:;After nearly 4 years of dialogue between the government and Pol ,NaN,6,0,NaN
CommonsCtK,2019-11-04 20:42:47,Holocaust Education Week.;;Collaboration with a FIMS researcher gave Max Eisen the chance to put his story of survi  ,"Georgetown, Ontario",0,0,NaN
rozitafargds,2019-11-04 20:42:10,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,NaN,5,0,NaN
pat_health,2019-11-04 20:41:58,NEW! Resource Guide to Digital Health in Canada. Presenting the new Resource Guide to Digital Health in Canada   a compre ,Ottawa,2,0,NaN
JohnChifofo,2019-11-04 20:41:52,"Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ", kindergarten ,6,0,NaN
ayekhemheferdi1,2019-11-04 20:41:39,"  Which powers gives the VP to sign things into Law, when the president has not transmitted po  ",Louix,0,0,1191425756506796038
njcrofts,2019-11-04 20:39:41,"If you read one news story today (and I really hope you read many, many more), make it be this one. It's a dive into the tro ","Washington, DC",10,0,NaN
reinatriendlID,2019-11-04 20:39:17,Education: Keio University (Environment and Information Studies major),TOKYO,0,0,NaN
wvufanagent99,2019-11-04 20:38:49,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,"Tampa, FL",25,0,NaN
ColesMom1016,2019-11-04 20:38:45,Check out our presentation and learn about the future of education: virtual reality!!! Upcoming presentation on November 7th ,"Kentucky, USA",3,0,NaN
LeafChronicle,2019-11-04 20:37:03,East Tennessee State University president 'disgusted' by 'It's Okay To Be White' flyers ,"Clarksville, TN",0,0,NaN
schmid_phil,2019-11-04 20:36:46,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",St Paul,6223,0,NaN
JulieMDPanneton,2019-11-04 20:36:21,"BTW, my cousin lives in QC. Issue of support 4 children &amp; adults with disabilities is Canada-wide. High time 4 a Na  ",NaN,0,0,1191451511592751104
NEFE_ORG,2019-11-04 20:36:17,Cancer didn t derail this student s dream of pursuing his college education. Read the latest essay published for My  ,"Denver, CO",1,1,NaN
DiinSilversmith,2019-11-04 20:36:14,"Indigenous UA students said Robbins remarked he didn't want to ""pull an Elizabeth Warren,"" but he took a DNA test that ","O odham, Yavapai & Akimel O odham lands (Phoenix, AZ)",2,0,NaN
BadMotorSc00ter,2019-11-04 20:36:05,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ","Cleveland, OH",6223,0,NaN
__IamOgar,2019-11-04 20:35:41,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Federal Capital Territory,164,0,NaN
ihpmeuoft,2019-11-04 20:35:21,"IHPME is greatly saddened to learn of the loss of Dr. Peggy Leatt, former chair of IHPME and a leader in health man  ","Toronto, Ontario",0,1,NaN
tksinclair,2019-11-04 20:35:14,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",S. California,6223,0,NaN
NYSDentalAssn,2019-11-04 20:35:09,"Dean Zambone of University at Buffalo School of Dental Medicine, sat down with a reporter, &amp; discussed the school s  ","Albany, New York",0,1,NaN
tayran_Kl,2019-11-04 20:34:32,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,NaN,5,0,NaN
KCLSustainable,2019-11-04 20:34:00,Join us on Wednesday 20th November for the launch of the new report from  into the Latinx university experience. Hear fr ,London,6,0,NaN
FranceVianello,2019-11-04 20:33:30,"Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ","Padova, Italia",11,0,NaN
TheIndyDistrict,2019-11-04 20:33:02," celebrated the third annual International Education Month in October with a variety of performing arts, film  ","Indianapolis, IN",0,0,NaN
UMichiganAI,2019-11-04 20:33:00,Excellent perspective from  on 's shared commitment to quality education and mutual prosperit  ,NaN,0,2,NaN
Bonnievee2017,2019-11-04 20:32:37,"Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ","Woodside, NY",6223,0,NaN
baalter,2019-11-04 20:32:31,University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,USA,25,0,NaN
free_taheri,2019-11-04 20:31:33,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because  ,Islamic Republic of Iran,5,6,NaN
nadinebh_,2019-11-04 20:31:21,Nobody thought Nick Clegg would break that pledge - and he not only broke it but tripled the cost of university edu  ,NaN,0,0,1191452896291934208
dealsoftakis,2019-11-04 20:30:08,"Free Education University - How to find scholarships and grants specifically tailored to your personality type, hob  ",United States,0,0,NaN
educationgadfly,2019-11-04 20:30:00,How do we best help students who are several grade levels behind? It s vital question. But the very fact that it s  ,"Washington, DC",1,1,NaN
prosperr9,2019-11-04 20:29:36,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,"Abuja, Nigeria",164,0,NaN
mikepaulmurphy,2019-11-04 20:28:14,All one has to do is to look at the notwithstanding clause to see what a shameless lie that is. Bereft of rule of l  ,"Punamu'kwati'j (Dartmouth, NS)",0,0,NaN
infosmarts,2019-11-04 20:28:02,"November is Indigenous Education month at . Teach students about the histories, cultures and contributions of First Nation ",Toronto,3,0,NaN
mrsmallard14,2019-11-04 20:27:44,"Delighted to announce that we have appointed a new Director of Education. Mr Kevin Butlin, currently the Director of Aca ",Cornwall,0,0,NaN
Chukwuemekazee,2019-11-04 20:27:35,admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,Lagos....Abuja...Owerri....ABa,164,0,NaN
JAMOGRAD,2019-11-04 20:27:26,"Just thinking... I'm really lucky I went to university when I did. My debts are tiny, and I never paid for any tuition. ;;W ","Wymondham, Norfolk",1,0,NaN
